ID,category,video_title_length,likes,views,post_date,channel_url,channel_name,video_url,Viral
1,Gaming,33,248881,6143607,10-Jul-24,https://www.youtube.com/@TechnoGamerzOfficial,Techno Gamerz,https://www.youtube.com/watch?v=rFDUEHoHNQM,1
2,Gaming,74,64560,765588,18-Jul-24,https://www.youtube.com/@TondeGamer,Tonde Gamer,https://www.youtube.com/watch?v=SHdgddBR_Fc,0
3,Gaming,84,15741,286896,26-Apr-24,https://www.youtube.com/@MBGARMY,MBG ARMY,https://www.youtube.com/watch?v=ta67pQh61Yc,0
4,Gaming,38,158519,10912138,16-May-23,https://www.youtube.com/@ProBoiz95,ProBoiz 95,https://www.youtube.com/watch?v=IpZfEbZIExs,1
5,Gaming,80,2329,42564,19-Jul-24,https://www.youtube.com/@a_shighlights9137,A_s Highlights,https://www.youtube.com/watch?v=HizloX7v20A,0
6,Gaming,39,809380,27931720,27-Feb-22,https://www.youtube.com/@TechnoGamerzOfficial,Techno Gamerz,https://www.youtube.com/watch?v=NHC_Tlxyhn8,1
7,Gaming,34,251412,6557285,5-Jul-24,https://www.youtube.com/@Mythpat,Mythpat,https://www.youtube.com/watch?v=pQLFUUYIC0k,1
8,Gaming,38,135091,2815019,17-Jul-24,https://www.youtube.com/@Mythpat,Mythpat,https://www.youtube.com/watch?v=wT_l2aJBpHE,0
9,Gaming,65,717676,7372953,Premiered on 5 Jul 2024,https://www.youtube.com/@TotalGaming093,Total Gaming,https://www.youtube.com/watch?v=ubj4qsvxRo0,1
10,Gaming,54,729500,20200807,10-Jun-24,https://www.youtube.com/@TechnoGamerzOfficial,Techno Gamerz,https://www.youtube.com/watch?v=BBFswfBrEcc,1
11,Gaming,82,49807,1898777,Premiered on 13 Jun 2023,https://www.youtube.com/@jenigaming7204,JENI GAMING,https://www.youtube.com/watch?v=4CVR9saXLUI,0
12,Gaming,34,54853,966519,18-Jul-24,https://www.youtube.com/@liveinsaan,Live Insaan,https://www.youtube.com/watch?v=vZCHehCIuZk,0
13,Gaming,73,4805,63140,Premiered 19 hours ago,https://www.youtube.com/@jenigaming7204,JENI GAMING,https://www.youtube.com/watch?v=J5FL-bSy_Zw,0
14,Gaming,66,17008,104290,19-Jul-24,https://www.youtube.com/@DesiGamers_,Desi Gamers,https://www.youtube.com/watch?v=MJ38ESx0Hww,0
15,Gaming,28,259256,6464053,25-Jun-24,https://www.youtube.com/@TechnoGamerzOfficial,Techno Gamerz,https://www.youtube.com/watch?v=XGJFFxhy7_0,1
16,Gaming,45,1533328,77167067,14-Jun-21,https://www.youtube.com/@TechnoGamerzOfficial,Techno Gamerz,https://www.youtube.com/watch?v=svZJbP1P-sA,1
17,Gaming,92,382773,8162395,15-Apr-22,https://www.youtube.com/@TotalGaming093,Total Gaming,https://www.youtube.com/watch?v=yOpeN3e4Ma0,1
18,Gaming,66,9610,210974,18-Jul-24,https://www.youtube.com/@HindustanGamerLoggy,Hindustan Gamer Loggy,https://www.youtube.com/watch?v=bLZRy9ZnWo4,0
19,Music,65,3562404,194974684,10-Jun-23,https://www.youtube.com/@aurmusicband,AUR,https://www.youtube.com/watch?v=AX6OrbgS8lI,1
20,Music,22,4467,417514,24-Jun-24,https://www.youtube.com/@SahuBabu2,SAHU BABU,https://www.youtube.com/watch?v=KwKbc2p1sFo,0
21,Music,57,7908140,763147278,7-Feb-22,https://www.youtube.com/@cokestudio,Coke Studio Pakistan,https://www.youtube.com/watch?v=5Eqb_-j3FDA,1
22,Music,87,2536722,342817805,5-Jan-17,https://www.youtube.com/@tseries,T-Series,https://www.youtube.com/watch?v=SxTYjptEzZs,1
23,Music,76,91986,9040634,16-Mar-23,https://www.youtube.com/@SICKVED,SICKVED,https://www.youtube.com/watch?v=yM9T2b7_9oc,0
24,Music,103,83221,10139826,10-Jun-23,https://www.youtube.com/@theeditsmith,The Editsmith ,https://www.youtube.com/watch?v=8YB-zGeNfD4,0
25,Music,58,1818,32927,Premiered 19 hours ago,https://www.youtube.com/@MalteMarten,Malte Marten,https://www.youtube.com/watch?v=1R0BuiKrmF8,0
26,Music,100,20951,42909,Streamed live on 18 Jul 2024,https://www.youtube.com/@coffeerelaxingjazz,Coffee Relaxing Jazz,https://www.youtube.com/watch?v=RN-i0YGV1a4,1
27,Music,48,2396399,259633712,29-Jul-20,https://www.youtube.com/@diljitdosanjh,Diljit Dosanjh,https://www.youtube.com/watch?v=cl0a3i2wFcc,1
28,Music,86,147,10577,Streamed live on 18 Jul 2024,https://www.youtube.com/@Krishna_flute,Krishna's Flute,https://www.youtube.com/watch?v=a01qnwuJu-M,1
29,Music,69,16012332,2419623529,18-Oct-18,https://www.youtube.com/@PostMaloneVEVO,Post Malone,https://www.youtube.com/watch?v=ApXoWvfEYVU,1
30,Music,97,1166,173797,Streamed live on 19 Jul 2024,https://www.youtube.com/@gaanefilmi,Gaane Filmi,https://www.youtube.com/watch?v=AjRrXmhPyig,0
31,Music,68,667237,68608048,24-Jun-23,https://www.youtube.com/@alonelofi7809,Alone lofi,https://www.youtube.com/watch?v=Bd8bpV2pxak,1
32,Music,47,3779095,289081478,Premiered on 13 Apr 2023,https://www.youtube.com/@davidkushnervevo5486,David Kushner,https://www.youtube.com/watch?v=MoN9ql6Yymw,1
33,Music,43,4931790,539727285,15-Dec-09,https://www.youtube.com/@OwlCityVEVO,Owl City,https://www.youtube.com/watch?v=psuRGfAaju4,1
34,Music,96,12,680,Premiered 20 hours ago,https://www.youtube.com/@CalmingSleepPianoMusic-fp4vj,Calming Sleep Piano Music,https://www.youtube.com/watch?v=DDKALbTdVbM,0
35,Comedy,86,5651,96705,19-Jul-24,https://www.youtube.com/@DhyeyDigitalfilms,Dhyey Digital films,https://www.youtube.com/watch?v=sJU-F-Z2qRQ,0
36,Comedy,91,468,146912,18-Jul-24,https://www.youtube.com/@BidikFunTv,Bidik Fun Tv,https://www.youtube.com/watch?v=PCszWkoBHzA,0
37,Comedy,57,58318,945947,18-Jul-24,https://www.youtube.com/@VarunGroverComedy,Varun Grover,https://www.youtube.com/watch?v=EYwNjMtGr6U,0
38,Comedy,70,25256,1260990,19-Jul-24,https://www.youtube.com/@SonySAB,Sony SAB,https://www.youtube.com/watch?v=oMKn1mQbZes,0
39,Comedy,99,310445,91895546,11-Aug-17,https://www.youtube.com/@Venus_Movies,Venus Movies,https://www.youtube.com/watch?v=3BoTdLJb-h4,1
40,Comedy,66,1272,121210,15-Jul-24,https://www.youtube.com/@amfilmproductionbydeepakdeewan,AM FILM PRODUCTION BY DEEPAK DEEWANA,https://www.youtube.com/watch?v=s0dvi26viTY,1
41,Comedy,93,2007,91011,19-Jul-24,https://www.youtube.com/@one_media,One Media Entertainments,https://www.youtube.com/watch?v=f9XV8XbJ--Q,0
42,Comedy,62,6570,121300,19-Jul-24,https://www.youtube.com/@yawaskits,YAWA SKITS,https://www.youtube.com/watch?v=Pnky_USPFzs,1
43,Comedy,88,1599,111255,18-Jul-24,https://www.youtube.com/@ChotuKiComedy,Chotu Ki Comedy,https://www.youtube.com/watch?v=OraXUfp-s-s,1
44,Comedy,106,2959,48111,Premiered 14 hours ago,https://www.youtube.com/@gen-zcomedyshow,GEN-Z COMEDY SHOW,https://www.youtube.com/watch?v=ZLVtRBALE9c,1
45,Comedy,80,834,87372,19-Jul-24,https://www.youtube.com/@Devrajstudiokurtha,devraj studio kurtha,https://www.youtube.com/watch?v=YuClwfxkYpI,1
46,Comedy,97,9509,97220,18-Jul-24,https://www.youtube.com/@sanumonucomedy9159,Sanumonu Comedy,https://www.youtube.com/watch?v=xT4D7fth5QY,0
